id;nom;pays;region;localite;remontees;km_pistes;bas_m;sommet_m;lat;lon;site_officiel_connu;page_tarifs_trouvee;manque;raison;photo_url;photo_legende;forfait_jour_adulte;devise;periode;source;note
ad-canaro;Canaro;Andorre;;El Pas de la Casa;24;24.9;1716;2500;42.54911;1.67355;https://www.grandvalira.com/;;forfait;site refusé (robots.txt ou 429);;;;;;;
al-ski-pista-bigell-dardhe;Ski Pista Bigëll – Dardhë;Albanie;Korçë;;2;1.1;1592;1678;40.51897;20.79846;https://www.facebook.com/SkiPistaBigell/wall/;;photo et forfait;site injoignable (400);;;;;;;
am-jermuk;Jermuk;Arménie;Vayots' Dzor;;1;0;2098;2424;39.83170;45.67902;;;photo et forfait;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
am-myler-mountain-resort;Myler Mountain Resort;Arménie;Aragatsotn;;3;8.9;1994;2798;40.50595;44.47941;https://myler.am/en/;;forfait;site visité, rien d'exploitable dans ses métadonnées ni ses tableaux;;;;;;;
am-tsaghkadzor-ski-resort;Ծաղկաձոր լեռնադահուկային առողջարան, Tsaghkadzor Ski resort;Arménie;Kotayk';;6;22.2;1972;2817;40.53097;44.67260;https://ropeway.am/online/;;photo et forfait;site injoignable (404);;;;;;;
at-bad-kleinkirchheim-468169m137834;Bad Kleinkirchheim;Autriche;Carinthia;;0;0;;;46.81692;13.78335;https://www.badkleinkirchheim.at/;;forfait;site visité, rien d'exploitable dans ses métadonnées ni ses tableaux;;;;;;;
at-bergbahn-weissensee;Bergbahn Weissensee;Autriche;Carinthia;;5;5.1;932;1365;46.70977;13.28057;https://www.weissensee.com/de/Winter-World/Sun-Ski-World/Skigebiet-Weissensee;https://www.weissensee.com/de/Summer-World/Hike-World/Sommerbergbahn/Tickets-Preise;forfait;site visité, rien d'exploitable dans ses métadonnées ni ses tableaux;;;;;;;
at-brandtnerlifte;Brandtnerlifte;Autriche;Upper Austria;;1;0.8;421;516;48.41514;13.97977;https://ski-hartkirchen.com/?page_id=65;;photo;site visité, rien d'exploitable dans ses métadonnées ni ses tableaux;;;;;;;
at-brenneralm;Brenneralm;Autriche;Lower Austria;;1;0;368;456;48.12920;16.14212;https://www.skilift-breitenfurt.com/;;forfait;site visité, rien d'exploitable dans ses métadonnées ni ses tableaux;;;;;;;
at-bungerloch;Bungerloch;Autriche;Tyrol;;1;0.3;840;944;47.26794;10.75308;;;photo et forfait;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-dachsteiner-gletscher;Dachsteiner Gletscher;Autriche;Styria;;1;13.9;1692;2687;47.50022;13.63854;;;forfait;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-damuls;Damüls;Autriche;Vorarlberg;Damüls;16;59.1;1376;2021;47.30802;9.87406;https://www.damuels-mellau.at/;;photo et forfait;site visité, rien d'exploitable dans ses métadonnées ni ses tableaux;;;;;;;
at-embach;Embach;Autriche;Salzburg;;2;3.2;1009;1290;47.28590;12.99787;;;photo et forfait;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-embergeralm;Embergeralm;Autriche;Carinthia;;5;4.8;1659;2110;46.77617;13.15175;https://www.embergeralm.info/;https://www.embergeralm.info/liftpreise_D.php;forfait;site visité, rien d'exploitable dans ses métadonnées ni ses tableaux;;;;;;;
at-familienschiberg-st-jakob-im-walde;Familienschiberg St. Jakob im Walde;Autriche;Styria;;3;2.6;1010;1190;47.47899;15.78483;https://www.familienschiberg.at;;photo et forfait;site refusé (robots.txt ou 429);;;;;;;
at-feistritzsattel;Feistritzsattel;Autriche;Lower Austria;;1;1.2;1118;1282;47.57613;15.85273;https://feistritzsattel.at/;;forfait;site visité, rien d'exploitable dans ses métadonnées ni ses tableaux;;;;;;;
at-flirsch;Flirsch;Autriche;Tyrol;;0;0.3;1158;1218;47.15099;10.40836;;;photo et forfait;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-forsteralm;Forsteralm;Autriche;Upper Austria;;0;0;;;47.89102;14.76082;https://www.forsteralm.com/;;forfait;site visité, rien d'exploitable dans ses métadonnées ni ses tableaux;;;;;;;
at-furx;Furx;Autriche;Vorarlberg;;0;0;;;47.27874;9.69512;;;forfait;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-galtwiesenlift;Galtwiesenlift;Autriche;Tyrol;;2;0.8;1185;1267;47.19407;10.78155;https://www.galtwiese.at/;;photo et forfait;site visité, rien d'exploitable dans ses métadonnées ni ses tableaux;;;;;;;
at-gargellen;Gargellen;Autriche;Vorarlberg;;8;26.7;1427;2272;46.95944;9.90346;https://www.montafon.at/bergbahnen-gargellen;;forfait;site refusé (robots.txt ou 429);;;;;;;
at-gfollberglift;Gföllberglift;Autriche;Tyrol;;1;2.2;1108;1316;47.26111;10.33647;https://www.lechtaler-bergbahnen.at/;https://www.lechtaler-bergbahnen.at/de/lechtaler-bergbahnen-tarife.html;forfait;site visité, rien d'exploitable dans ses métadonnées ni ses tableaux;;;;;;;
at-goa;Goaß;Autriche;Lower Austria;;1;0;291;334;48.54844;15.99178;;;photo et forfait;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-golm;Golm;Autriche;Vorarlberg;Tschagguns;9;27.9;650;2103;47.07519;9.86655;https://www.golm.at;https://www.golm.at/de/preise-service/preise;forfait;site visité, rien d'exploitable dans ses métadonnées ni ses tableaux;;;;;;;
at-gramais;Gramais;Autriche;Tyrol;;1;0;1331;1356;47.26321;10.53366;;;photo;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-gries;Gries;Autriche;Tyrol;;2;0.4;1589;1650;47.07082;11.02791;;;photo;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-gries-in-sellraintal;Gries in Sellraintal;Autriche;Tyrol;;1;0.4;1186;1258;47.19703;11.15998;;;photo et forfait;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-grollerkopf-ubersaxen;Gröllerkopf-Übersaxen;Autriche;Vorarlberg;;2;3.3;1014;1194;47.25583;9.68679;https://www.uebersaxen.at/Schilift_Groellerkopf;;forfait;site visité, rien d'exploitable dans ses métadonnées ni ses tableaux;;;;;;;
at-grunberg-obsteig;Grünberg Obsteig;Autriche;Tyrol;;4;0;1030;1103;47.29142;10.91445;http://www.gruenberglift.at/;;photo et forfait;site injoignable (403);;;;;;;
at-grunberglift-navis;Grünberglift Navis;Autriche;Tyrol;;1;0;1384;1576;47.13811;11.54733;;;photo;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-hinterstoder;Hinterstoder;Autriche;Upper Austria;;19;35.2;588;1987;47.67522;14.13944;https://www.hiwu.at/;https://skisport.com/hinterstoder/de/tickets-preise;forfait;site visité, rien d'exploitable dans ses métadonnées ni ses tableaux;;;;;;;
at-hittisberglift-hittisau;Hittisberglift Hittisau;Autriche;Vorarlberg;;1;2.1;809;996;47.45351;9.97997;;;forfait;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-hochkar;Hochkar;Autriche;Lower Austria;;0;0;;;47.71070;14.90130;https://www.hochkar.com/;;photo et forfait;site refusé (robots.txt ou 429);;;;;;;
at-hochkeil;Hochkeil;Autriche;Salzburg;Bischofshofen;7;22.1;606;1748;47.40576;13.16605;;;photo et forfait;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-hochoetz-kuhtai;Hochoetz-Kühtai;Autriche;Tyrol;Oetz;26;52.2;1408;2507;47.21514;10.97151;https://www.kuehtai.info/en/winter/ski-area.html;;photo et forfait;site injoignable (404);;;;;;;
at-hutegglift-weerberg;Hütegglift Weerberg;Autriche;Tyrol;;1;1.4;1253;1511;47.28977;11.68388;;;photo et forfait;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-kesselmannlifte;Kesselmannlifte;Autriche;Salzburg;;5;0;793;856;47.78276;13.24781;https://www.schilift-kesselmann.at;;forfait;site visité, rien d'exploitable dans ses métadonnées ni ses tableaux;;;;;;;
at-kienleiten-brandenberg;Kienleiten - Brandenberg;Autriche;Tyrol;;1;0.3;913;975;47.48815;11.89927;;;photo et forfait;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-kleinwalsertal-oberstdorf;Kleinwalsertal-Oberstdorf;Autriche;Vorarlberg;Hirschegg;54;106.3;823;2213;47.36985;10.22774;https://www.kleinwalsertal.com;;photo et forfait;site injoignable (403);;;;;;;
at-knittellifte;Knittellifte;Autriche;Tyrol;;3;1.6;1054;1227;47.28459;10.42003;https://knitteltirol.com/;;photo et forfait;site refusé (robots.txt ou 429);;;;;;;
at-kolsassberg;Kolsassberg;Autriche;Tyrol;;1;0.6;754;846;47.28849;11.64515;;;photo et forfait;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-lachtal-472636m143608;Lachtal;Autriche;Styria;;10;24.9;1572;2199;47.26364;14.36083;https://www.lachtal.at/;https://www.lachtal.at/tickets-preise/;forfait;site visité, rien d'exploitable dans ses métadonnées ni ses tableaux;;;;;;;
at-lackenhof-otscher;Lackenhof - Ötscher;Autriche;Lower Austria;;8;13.9;815;1431;47.86011;15.16056;https://www.lackenhof.at/skifahren;;forfait;site visité, rien d'exploitable dans ses métadonnées ni ses tableaux;;;;;;;
at-lanalift-anras;Lanalift Anras;Autriche;Tyrol;;1;0.4;1265;1376;46.78307;12.58227;;;photo et forfait;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-monichkirchen-mariensee;Mönichkirchen - Mariensee;Autriche;Lower Austria;Mönichkirchen;5;9.3;861;1428;47.52101;16.00787;https://www.erlebnisalm.com;;forfait;site refusé (robots.txt ou 429);;;;;;;
at-muttersberg-bludenz;Muttersberg (Bludenz);Autriche;Vorarlberg;Ludesch;1;0;677;1394;47.17412;9.82312;https://www.muttersberg.at/;;photo et forfait;site refusé (robots.txt ou 429);;;;;;;
at-niederau-wildschonau;Niederau (Wildschönau);Autriche;Tyrol;;11;18.5;833;1564;47.43926;12.09363;https://www.wildschoenau.com/en/villages/niederau;;photo;site refusé (robots.txt ou 429);;;;;;;
at-niederthai;Niederthai;Autriche;Tyrol;;2;1.5;1528;1667;47.12742;10.96666;https://fr.tyrol.com/activites/sport/ski/domaines-skiables/umhausen-niederthai;;photo et forfait;site refusé (robots.txt ou 429);;;;;;;
at-patschiedlift;Patschiedlift;Autriche;Tyrol;;1;0.6;1370;1543;47.11139;10.58818;;;photo et forfait;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-petersbrundllift-st-michael;Petersbründllift St. Michael;Autriche;Salzburg;;1;0.7;1048;1226;47.08732;13.62563;;;photo et forfait;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-pfafflar;Pfafflar;Autriche;Tyrol;;1;0;1341;1365;47.27916;10.59942;;;photo et forfait;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-piller;Piller;Autriche;Tyrol;;0;0;;;47.13318;10.68409;https://starkenberger-panoramaweg.at/en/more-info/rid/41923280;;photo et forfait;site refusé (robots.txt ou 429);;;;;;;
at-preggrabenhohe;Preggrabenhöhe;Autriche;Styria;;2;0;908;986;47.27823;14.98207;;;photo et forfait;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-raunigwiese;Raunigwiese;Autriche;Carinthia;;1;0;621;687;46.86547;13.31982;;;photo et forfait;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-rieseralm;Rieseralm;Autriche;Styria;;5;8.7;1321;1606;47.09177;14.60886;https://www.rieseralm.at/;;forfait;site refusé (robots.txt ou 429);;;;;;;
at-schie-standlift-flirsch;Schießstandlift Flirsch;Autriche;Tyrol;;1;0;1158;1224;47.15101;10.40836;;;photo et forfait;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-schilift-obdach;Schilift Obdach;Autriche;Styria;Obdach;1;1;897;1176;47.05870;14.68996;https://www.schilift-obdach.at/;;photo;site refusé (robots.txt ou 429);;;;;;;
at-schilifte-kleinlobming;Schilifte Kleinlobming;Autriche;Styria;;2;0.5;748;892;47.14890;14.84159;https://lobmingtal.at/freizeit-tourismus/schilifte-kleinlobming/;;forfait;site visité, rien d'exploitable dans ses métadonnées ni ses tableaux;;;;;;;
at-schilifte-molln;Schilifte Molln;Autriche;Upper Austria;;2;0;439;476;47.88079;14.25613;;;photo;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-schmiedhornlift;Schmiedhornlift;Autriche;Salzburg;;1;0;801;906;47.78878;13.25156;;;forfait;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-schneeberglifte-thiersee;Schneeberglifte Thiersee;Autriche;Tyrol;;2;1.6;794;1010;47.58238;12.09260;https://www.schneeberglifte.at/;;photo et forfait;site refusé (robots.txt ou 429);;;;;;;
at-schneiderkopflifte;Schneiderkopflifte;Autriche;Vorarlberg;;3;1.9;704;871;47.47817;9.81444;;;photo et forfait;aucun site web connu (OpenSkiMap n'en publie pas);;;;;;;
at-schonfeld-thomatal;Schönfeld - Thomatal;Autriche;Salzburg;;2;2.3;1735;2088;46.98068;13.77616;https://www.schoenfeld.co.at/ski-alpin;;forfait;site refusé (robots.txt ou 429);;;;;;;
